Jackson St.,SWAC,30,13,none,0,2019
Bryant,NEC,30,10,none,0,2019
Manhattan,MAAC,32,11,none,0,2019
Binghamton,AE,31,10,none,0,2019
SIU Edwardsville,OVC,29,10,none,0,2019
Stetson,ASun,29,7,none,0,2019
Central Connecticut,NEC,29,11,none,0,2019
Tennessee Tech,OVC,29,8,none,0,2019
Arkansas Pine Bluff,SWAC,31,13,none,0,2019
McNeese St.,Slnd,27,9,none,0,2019
Cal Poly,BW,27,6,none,0,2019
Southern,SWAC,31,7,none,0,2019
Maine,AE,31,5,none,0,2019
Alabama St.,SWAC,29,12,none,0,2019
Kennesaw St.,ASun,30,5,none,0,2019
USC Upstate,BSth,29,5,none,0,2019
South Carolina St.,MEAC,32,8,none,0,2019
San Jose St.,MWC,30,4,none,0,2019
Morgan St.,MEAC,28,9,none,0,2019
Incarnate Word,Slnd,27,6,none,0,2019
Northwestern St.,Slnd,28,11,none,0,2019
Savannah St.,MEAC,30,11,none,0,2019
UNC Asheville,BSth,28,4,none,0,2019
Coppin St.,MEAC,33,8,none,0,2019
Idaho,BSky,29,5,none,0,2019
Alabama A&M,SWAC,32,5,none,0,2019
Mississippi Valley St.,SWAC,31,6,none,0,2019
Alcorn St.,SWAC,27,10,none,0,2019
New Hampshire,AE,27,5,none,0,2019
Chicago St.,WAC,30,3,none,0,2019
Delaware St.,MEAC,29,6,none,0,2019
Maryland Eastern Shore,MEAC,30,7,none,0,2019
Villanova,BE,40,36,Champions,1,2018
Virginia,ACC,34,31,R64,1,2018
Duke,ACC,37,29,E8,2,2018
Purdue,B10,37,30,S16,2,2018
Cincinnati,Amer,36,31,R32,2,2018
Kansas,B12,39,31,F4,1,2018
Michigan,B10,40,33,2ND,3,2018
West Virginia,B12,37,26,S16,5,2018
Michigan St.,B10,35,30,R32,3,2018
North Carolina,ACC,37,26,R32,2,2018
Tennessee,SEC,35,26,R32,3,2018
Xavier,BE,35,29,R32,1,2018
Gonzaga,WCC,37,32,S16,4,2018
Texas Tech,B12,37,27,E8,3,2018
Ohio St.,B10,34,25,R32,5,2018
Penn St.,B10,39,26,none,0,2018
Florida,SEC,34,21,R32,6,2018
Houston,Amer,35,27,R32,6,2018
Butler,BE,35,21,R32,10,2018
Kentucky,SEC,37,26,S16,5,2018
Clemson,ACC,35,25,S16,5,2018
Seton Hall,BE,34,22,R32,8,2018
Creighton,BE,32,21,R64,8,2018
TCU,B12,33,21,R64,6,2018
Auburn,SEC,34,26,R32,4,2018
Wichita St.,Amer,33,25,R64,4,2018
Texas A&M,SEC,35,22,S16,7,2018
Florida St.,ACC,35,23,E8,9,2018
Miami FL,ACC,32,22,R64,6,2018
Kansas St.,B12,37,25,E8,9,2018
Virginia Tech,ACC,33,21,R64,8,2018
Texas,B12,34,19,R64,10,2018
Maryland,B10,31,19,none,0,2018
Arizona,P12,35,27,R64,4,2018
Oklahoma St.,B12,36,21,none,0,2018
San Diego St.,MWC,32,22,R64,11,2018
Louisville,ACC,36,22,none,0,2018
Arkansas,SEC,35,23,R64,7,2018
Saint Mary's,WCC,36,30,none,0,2018
Nevada,MWC,37,29,S16,7,2018
Loyola Chicago,MVC,37,32,F4,11,2018
Marquette,BE,35,21,none,0,2018
Baylor,B12,33,19,none,0,2018
USC,P12,36,24,none,0,2018
Missouri,SEC,32,20,R64,8,2018
Oklahoma,B12,32,18,R64,10,2018
Syracuse,ACC,37,23,S16,11,2018
Mississippi St.,SEC,36,25,none,0,2018
Nebraska,B10,33,22,none,0,2018
Notre Dame,ACC,35,21,none,0,2018
Davidson,A10,33,21,R64,12,2018
North Carolina St.,ACC,33,21,R64,9,2018
Middle Tennessee,CUSA,32,25,none,0,2018
Utah,P12,35,23,none,0,2018
Arizona St.,P12,32,20,R68,11,2018
Boise St.,MWC,31,23,none,0,2018
Alabama,SEC,36,20,R32,9,2018
Western Kentucky,CUSA,37,27,none,0,2018
UCLA,P12,33,21,R68,11,2018
Providence,BE,35,21,R64,10,2018
Georgia,SEC,33,18,none,0,2018
South Dakota St.,Sum,31,28,R64,12,2018
Rhode Island,A10,34,26,R32,7,2018
New Mexico St.,WAC,31,28,R64,12,2018
Old Dominion,CUSA,32,25,none,0,2018
Louisiana Lafayette,SB,32,27,none,0,2018
St. John's,BE,32,16,none,0,2018
Buffalo,MAC,35,27,R32,13,2018
LSU,SEC,33,18,none,0,2018
Georgetown,BE,30,15,none,0,2018
Indiana,B10,31,16,none,0,2018
Fresno St.,MWC,30,21,none,0,2018
Wisconsin,B10,33,15,none,0,2018
South Carolina,SEC,32,17,none,0,2018
Northwestern,B10,31,15,none,0,2018
Oregon,P12,36,23,none,0,2018
St. Bonaventure,A10,34,26,R64,11,2018
South Dakota,Sum,31,26,none,0,2018
Murray St.,OVC,30,26,R64,12,2018
Boston College,ACC,35,19,none,0,2018
Stanford,P12,35,19,none,0,2018
Illinois,B10,31,14,none,0,2018
Iowa St.,B12,31,13,none,0,2018
Wake Forest,ACC,31,11,none,0,2018
BYU,WCC,35,24,none,0,2018
Belmont,OVC,33,24,none,0,2018
UNC Greensboro,SC,32,27,R64,13,2018
Iowa,B10,33,14,none,0,2018
Montana,BSky,32,26,R64,14,2018
Vanderbilt,SEC,32,12,none,0,2018
Temple,Amer,33,17,none,0,2018
DePaul,BE,31,11,none,0,2018
Northern Kentucky,Horz,30,22,none,0,2018
SMU,Amer,33,17,none,0,2018
Furman,SC,31,23,none,0,2018
Georgia St.,SB,33,24,R64,15,2018
Washington,P12,34,21,none,0,2018
Tulsa,Amer,31,19,none,0,2018
Stephen F. Austin,Slnd,31,28,R64,14,2018
Utah Valley,WAC,31,23,none,0,2018
New Mexico,MWC,33,19,none,0,2018
Bucknell,Pat,35,25,R64,14,2018
Vermont,AE,34,27,none,0,2018
Northern Colorado,BSky,35,26,none,0,2018
Northern Iowa,MVC,30,16,none,0,2018
Oregon St.,P12,32,16,none,0,2018
Northeastern,CAA,32,23,none,0,2018
Minnesota,B10,32,15,none,0,2018
Mississippi,SEC,32,12,none,0,2018
East Tennessee St.,SC,32,25,none,0,2018
Penn,Ivy,32,24,R64,16,2018
UNLV,MWC,33,20,none,0,2018
Marshall,CUSA,35,25,R32,13,2018
Colorado,P12,32,17,none,0,2018
Grand Canyon,WAC,33,22,none,0,2018
UAB,CUSA,31,20,none,0,2018
Georgia Tech,ACC,32,13,none,0,2018
San Diego,WCC,33,20,none,0,2018
